title,description,price
Wireless Mouse,Ergonomic wireless mouse with 2.4 GHz connection,25.99
Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches,79.99
USB-C Hub,7-in-1 USB-C hub with HDMI USB SD card slots,49.99
Noise Cancelling Headphones,Over-ear headphones with active noise cancellation,129.99
Smartphone Stand,Adjustable aluminum smartphone stand for desk,19.99
Portable Charger,10000mAh portable charger with fast charging,39.99
Gaming Chair,Ergonomic gaming chair with lumbar support,199.99
LED Desk Lamp,Dimmable LED desk lamp with USB charging port,34.99
Bluetooth Speaker,Compact Bluetooth speaker with 12-hour battery life,59.99
Webcam,1080p HD webcam with built-in microphone,45.99
